"","price","address","squares","type","year","age","bed","bath","tax"
"273","$1,950,000","14650 Niagara Parkway, Niagara-on-the-Lake, ON","2,630 sq.ft.","Residential, House",NA,"23","3","3","$6,129"
"274","$849,000","42B Grant Street, Toronto, ON","1,200 sq.ft.","Residential, House",NA,"175","2+1","2","$3,772"
"275","$749,900","39 Queens Quay E, Toronto, ON",NA,"Residential, Condo",NA,"0-5","1","1","$3,286"
"276","$958,000","2285 Lake Shore Blvd Suite 801, Toronto, ON",NA,"Residential, Condo",NA,NA,"2","2","$3,454"
"277","$3,500,000","15618 Niagara Parkway, Niagara-on-the-Lake, ON","10,000 sq.ft.","Residential, House","1875","100+","9","10",NA
"278","$1,238,888","75 Titan Trail, Markham, ON",NA,"Residential, House",NA,NA,"4","4","$6,533"
"279","$1,298,000","2177 Lillykin St, Oakville, ON","2,760 sq.ft.","Residential, Townhouse","2017","0-5","3","4","$5,389"
"280","$4,250,000","206 Bloor St W #502, Toronto, ON",NA,"Residential, Condo",NA,NA,"2","3","$18,219"
"281","$1,059,000","379 Pettit Trail, Milton, ON","2,275 sq.ft.","Residential, House",NA,"6-15 yrs","4","3+1","$4,434"
"282","$929,000 or $3,300/mo","1575 Lakeshore Rd W, Mississauga, ON",NA,"Residential, Condo",NA,"1","2+1","2",NA
"283","$3,945,000","74 Pricefield Rd, Toronto, ON",NA,"Residential, House",NA,NA,"4+1","4+1","$11,952"
"284","$6,295,000","22 Deanbank Dr, Markham, ON",NA,"Residential, House",NA,NA,"4+2","5","$21,038"
"285","$799,000","360A Dundas St E, Toronto, ON",NA,"Residential, Townhouse",NA,NA,"2","2","$2,180"
"286","$1,650,000","7A Prince Street, Halton Hills, ON","2,450 sq.ft.","Residential, House",NA,NA,"4","3+1","$7,132"
"287","$797,000","55 Regent Park Blvd #2602, Toronto, ON",NA,"Residential, Condo",NA,"6-10","2","2","$2,579"
"288","$728,000","32 Orca Dr, Markham, ON",NA,"Residential, House",NA,"6-15","3","3","$3,731"
"289","$900,000","16 Hillson Crt, Brampton, ON",NA,"Residential, House",NA,NA,"3","3","$5,520"
"290","$929,000","1048 Broadview Ave, Toronto, ON",NA,"Residential, Condo",NA,NA,"2","2","$3,334"
"291","$5,295,000","158 Glen Rd, Toronto, ON",NA,"Residential, House",NA,NA,"6+1","5","$20,269"
"292","$2,695,000","35 Marlborough Avenue, Toronto, ON",NA,"Residential, House",NA,"16-30","3","3","$9,607"
